origen_id,destino_id,origen_lat,origen_lon,destino_lat,destino_lon,calle,distancia_m,trafico,distancia_trafico_m,tiempo_estimado_s,distrito_origen,distrito_destino
258310049,308132236,-12.1610552,-77.0257215,-12.1617934,-77.0258617,Circuito de Playas,83.49,1.87,156.13,18.74,Chorrillos,Chorrillos
258310168,5005642850,-12.1657238,-77.0279395,-12.1663328,-77.0291792,Regatas,150.91,2.24,338.04,40.58,Chorrillos,Chorrillos
258310168,3974728986,-12.1657238,-77.0279395,-12.1672227,-77.0331147,Circuito de Playas,618.32,1.42,878.01,105.4,Chorrillos,Chorrillos
258310179,347935323,-12.1671764,-77.033502,-12.1715615,-77.0346073,Paseo Bilinghurst,1033.94,1.5,1550.91,186.18,Chorrillos,Chorrillos
289311282,2833482623,-12.2179852,-76.9770993,-12.2180372,-76.9779892,Sin nombre,266.35,2.0,532.7,63.95,Chorrillos,Chorrillos
289311282,289311774,-12.2179852,-76.9770993,-12.2213587,-76.9758146,Carretera Panamericana Sur,410.89,2.38,977.92,117.4,Chorrillos,Chorrillos
289311410,182439939,-12.2219508,-76.9750218,-12.2182515,-76.9769446,Carretera Panamericana Sur,475.54,1.6,760.86,91.34,Chorrillos,Chorrillos
289311528,4332641459,-12.2152219,-76.9814113,-12.2133719,-76.9834188,Avenida Caminos del Inca,299.99,1.11,332.99,39.97,Chorrillos,Chorrillos
289311528,10688691227,-12.2152219,-76.9814113,-12.2150587,-76.9812619,Sin nombre,24.35,1.81,44.07,5.29,Chorrillos,Chorrillos
289311770,289312127,-12.2177923,-76.9789294,-12.2178557,-76.9787483,Avenida Caminos del Inca,20.91,2.07,43.28,5.2,Chorrillos,Chorrillos
289311770,289311774,-12.2177923,-76.9789294,-12.2213587,-76.9758146,Sin nombre,524.5,1.83,959.84,115.23,Chorrillos,Chorrillos
289311774,3754865617,-12.2213587,-76.9758146,-12.223213,-76.97403,Carretera Panamericana Sur,283.07,1.7,481.22,57.77,Chorrillos,Chorrillos
289312127,2833482623,-12.2178557,-76.9787483,-12.2180372,-76.9779892,Sin nombre,86.1,1.84,158.42,19.02,Chorrillos,Chorrillos
289312127,289312609,-12.2178557,-76.9787483,-12.217977,-76.9779336,Avenida Caminos del Inca,89.75,1.32,118.47,14.22,Chorrillos,Chorrillos
289312567,9251694706,-12.2173866,-76.9793712,-12.2158526,-76.9808368,Avenida Caminos del Inca,233.63,1.96,457.91,54.97,Chorrillos,Chorrillos
289312609,182439939,-12.217977,-76.9779336,-12.2182515,-76.9769446,Avenida Caminos del Inca,511.46,1.52,777.42,93.33,Chorrillos,Chorrillos
304905060,304905064,-12.1813985,-77.007663,-12.1808927,-77.0079153,Avenida Prolongación Paseo de la República,62.86,1.62,101.83,12.22,Chorrillos,Chorrillos
304905060,309583688,-12.1813985,-77.007663,-12.1809792,-77.0075872,Avenida Las Gaviotas,47.5,1.53,72.68,8.73,Chorrillos,Chorrillos
304905064,371264644,-12.1808927,-77.0079153,-12.1793774,-77.0093143,Avenida Prolongación Paseo de la República,226.97,1.23,279.17,33.51,Chorrillos,Chorrillos
304905076,2833197405,-12.1678934,-77.0190982,-12.1678903,-77.0194247,Avenida Emilio Sandoval,35.51,1.86,66.05,7.93,Chorrillos,Chorrillos
304905076,459457467,-12.1678934,-77.0190982,-12.1666513,-77.0194732,Avenida Panamericana Sur,163.23,1.73,282.39,33.9,Chorrillos,Chorrillos
304905083,347933641,-12.1681752,-77.0189587,-12.1716522,-77.0164978,Avenida Prolongación Paseo de la República,471.59,1.67,787.56,94.55,Chorrillos,Chorrillos
304905111,309583793,-12.1745329,-77.0056144,-12.1746076,-77.0055063,Jirón Andrómeda,14.39,1.02,14.68,1.76,Chorrillos,Chorrillos
304905111,304905112,-12.1745329,-77.0056144,-12.1750217,-77.0058887,Avenida Ariosto Matellini,62.03,2.49,154.45,18.54,Chorrillos,Chorrillos
304905111,10030064789,-12.1745329,-77.0056144,-12.17435,-77.0058447,Jirón Andrómeda,32.3,1.98,63.95,7.68,Chorrillos,Chorrillos
